|2000|,|1430708|,|C00000059|,|Hallmark Cards|,||,||,|  |,|     |,||,|C1400|,06/08/2000,1000.0,|C00341867|,,|C00341867|,|PI|,|J1200|,|A|,|M7 |,|P|,|20035983133|,|24K|,|C1400|,|PAC  |
|2000|,|0580694|,|C00000547|,|Kansas Medical Assn|,||,||,|  |,|     |,||,|H1100|,12/21/1999,1620.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|YE |,|P|,|20035043410|,|24G|,|H1100|,|PAC  |
|2000|,|1125744|,|C00000638|,|Indiana Medical Assn|,|American Medical Political Action|,|Washington|,|DC|,|20005|,||,|H1100|,06/02/2000,1130.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|Q2 |,|G|,|20990159619|,|24K|,|H1100|,|PAC  |
|2000|,|1218410|,|C00000489|,|Teamsters Union|,||,||,|  |,|     |,||,|LT300|,05/15/2000,1750.0,|C00000489|,,|C00032979|,|PL|,|LT300|,|N|,|Q2 |,|P|,|20035852084|,|18G|,|LT300|,|PAC  |
|2000|,|1218411|,|C00000489|,|Teamsters Union|,||,||,|  |,|     |,||,|LT300|,06/06/2000,10000.0,|C00000489|,,|C00032979|,|PL|,|LT300|,|N|,|Q2 |,|P|,|20035852084|,|18G|,|LT300|,|PAC  |
|2000|,|1222216|,|C00000489|,|Teamsters Local 886|,||,||,|  |,|     |,||,|LT300|,06/12/2000,250.0,|C00190934|,|D|,|C00190934|,|DP|,|Z5200|,|N|,|Q2 |,|P|,|20035852085|,|24K|,|LT300|,|PAC  |
|2000|,|1125741|,|C00000638|,|American Medical Assn|,|American Medical Political Action|,|Washington|,|DC|,|20005|,||,|H1100|,06/08/2000,6420.0,|C00000638|,,|C00000422|,|PB|,|H1100|,|N|,|Q2 |,|G|,|20990159616|,|18G|,|H1100|,|PAC  |
|2000|,|1125742|,|C00000638|,|Indiana Medical Assn|,|American Medical Political Action|,|Washington|,|DC|,|20005|,||,|H1100|,04/03/2000,3960.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|Q2 |,|P|,|20990159619|,|24K|,|H1100|,|PAC  |
|2000|,|1125743|,|C00000638|,|Indiana Medical Assn|,|American Medical Political Action|,|Washington|,|DC|,|20005|,||,|H1100|,05/01/2000,3960.0,|C00000422|,,|C00000422|,|PB|,|H1100|,|N|,|Q2 |,|P|,|20990159619|,|24K|,|H1100|,|PAC  |
|2000|,|1449313|,|C00000638|,|American Medical Assn|,|American Medical Political Action|,|Washington|,|DC|,|20005|,||,|H1100|,08/18/2000,2898.0,|C00000638|,,|C00000422|,|PB|,|H1100|,|N|,|Q3 |,|P|,|20990214006|,|18G|,|H1100|,|PAC  |
|2000|,|0006922|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,01/08/1999,-15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034333656|,|24K|,|H1400|,|PAC  |
|2000|,|0006925|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,01/20/1999,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034333656|,|24K|,|H1400|,|PAC  |
|2000|,|0085681|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,04/20/1999,15000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M5 |,|P|,|99034512531|,|24K|,|H1400|,|PAC  |
|2000|,|0085682|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,04/20/1999,15000.0,|C00000935|,|D|,|C00000935|,|DP|,|Z5200|,|N|,|M5 |,|P|,|99034512531|,|24K|,|H1400|,|PAC  |
|2000|,|0085685|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,04/23/1999,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M5 |,|P|,|99034512531|,|24K|,|H1400|,|PAC  |
|2000|,|0085686|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,04/23/1999,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M5 |,|P|,|99034512531|,|24K|,|H1400|,|PAC  |
|2000|,|0099734|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,05/23/1999,-15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M6 |,|P|,|99034530753|,|24K|,|H1400|,|PAC  |
|2000|,|0206819|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,06/28/1999,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M7 |,|P|,|99034563175|,|24K|,|H1400|,|PAC  |
|2000|,|0861251|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,02/03/2000,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M3 |,|P|,|20035343036|,|24K|,|H1400|,|PAC  |
|2000|,|0982034|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,03/29/2000,15000.0,|C00347864|,|D|,|C00347864|,|DP|,|Z5200|,|N|,|M4 |,|P|,|20035544880|,|24K|,|H1400|,|PAC  |
|2000|,|0982004|,|C00000729|,|American Dental Assn|,|BILL MCCOLLUM FOR CONGRESS|,|LONGWOOD|,|FL|,|32779|,||,|H1400|,03/10/2000,500.0,,,||,,,|N|,|M4 |,|P|,|20035544877|,|24P|,|H1400|,|PAC  |
|2000|,|0982035|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,03/29/2000,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M4 |,|P|,|20035544880|,|24K|,|H1400|,|PAC  |
|2000|,|0982036|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,03/29/2000,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M4 |,|P|,|20035544880|,|24K|,|H1400|,|PAC  |
|2000|,|0982037|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,03/29/2000,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M4 |,|P|,|20035544880|,|24K|,|H1400|,|PAC  |
|2000|,|0982038|,|C00000729|,|American Dental Assn|,||,||,|  |,|     |,||,|H1400|,03/29/2000,15000.0,|C00003418|,|R|,|C00003418|,|RP|,|Z5100|,|N|,|M4 |,|P|,|20035544881|,|24K|,|H1400|,|PAC  |
|2000|,|0238530|,|C00000794|,|Lent, Scrivner & Roth|,||,||,|  |,|     |,||,|K2000|,04/19/1999,349.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|MY |,|P|,|99034620318|,|24K|,|K2000|,|PAC  |
|2000|,|1155459|,|C00000794|,|Lent, Scrivner & Roth|,||,||,|  |,|     |,||,|K2000|,05/01/2000,1000.0,|C00307405|,|R|,|C00307405|,|PI|,|J2200|,|N|,|Q2 |,|P|,|20035720108|,|24K|,|K2000|,|PAC  |
|2000|,|0410172|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,05/28/1999,1000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|MY |,|P|,|99034833867|,|24K|,|LB100|,|PAC  |
|2000|,|0920378|,|C00000794|,|Lent, Scrivner & Roth|,||,||,|  |,|     |,||,|K2000|,03/23/2000,500.0,|C00330720|,|R|,|C00330720|,|PI|,|J2200|,|N|,|Q1 |,|P|,|20035402561|,|24K|,|K2000|,|PAC  |
|2000|,|1087137|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,12/31/1999,-2000.0,|C00237180|,|D|,|C00237180|,|PI|,|J2100|,|A|,|YE |,|G|,|20035560042|,|24K|,|LB100|,|PAC  |
|2000|,|0870029|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|0870031|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00347864|,|D|,|C00347864|,|DP|,|Z5200|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|0870032|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00003418|,|R|,|C00003418|,|RP|,|Z5100|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|0870033|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|0870034|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|0870030|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,02/09/2000,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M3 |,|P|,|20035363324|,|24K|,|B2000|,|PAC  |
|2000|,|1550397|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/07/2000,5000.0,|C00019331|,|D|,|C00019331|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550398|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00024372|,|D|,|C00024372|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550399|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00188367|,|D|,|C00188367|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550400|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00005561|,|D|,|C00005561|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550401|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00035600|,|D|,|C00035600|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550406|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00208991|,|D|,|C00208991|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550407|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00178038|,|D|,|C00178038|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550408|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00016899|,|D|,|C00016899|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550409|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00167130|,|D|,|C00167130|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550410|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00167346|,|D|,|C00167346|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550411|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00114439|,|D|,|C00114439|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550412|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00162578|,|D|,|C00162578|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123146|,|24K|,|LB100|,|PAC  |
|2000|,|1550423|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/27/2000,2000.0,|C00019380|,|D|,|C00019380|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123148|,|24K|,|LB100|,|PAC  |
|2000|,|1550428|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/28/2000,5000.0,|C00337840|,|D|,|C00337840|,|PI|,|J2100|,|N|,|Q3 |,|P|,|20036123149|,|24K|,|LB100|,|PAC  |
|2000|,|1550402|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00011197|,|D|,|C00011197|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1550403|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00179408|,|D|,|C00179408|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550404|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00031054|,|D|,|C00031054|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550405|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00135558|,|D|,|C00135558|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123145|,|24K|,|LB100|,|PAC  |
|2000|,|1550416|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/14/2000,25000.0,|C00143230|,|D|,|C00143230|,|DP|,|Z5200|,|N|,|Q3 |,|G|,|20036123146|,|24K|,|LB100|,|PAC  |
|2000|,|1550426|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/28/2000,5000.0,|C00148635|,,|C00148635|,|PI|,|J1200|,|N|,|Q3 |,|P|,|20036123149|,|24K|,|LB100|,|PAC  |
|2000|,|1550427|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/28/2000,5000.0,|C00224717|,,|C00224717|,|PI|,|J1200|,|N|,|Q3 |,|P|,|20036123149|,|24K|,|LB100|,|PAC  |
|2000|,|1903070|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,10/27/2000,10000.0,|C00147512|,,|C00147512|,|PI|,|J7500|,|N|,|30G|,|G|,|20036553210|,|24K|,|LB100|,|PAC  |
|2000|,|1903081|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,11/03/2000,15000.0,|C00347864|,|D|,|C00347864|,|DP|,|Z5200|,|N|,|30G|,|G|,|20036553212|,|24K|,|LB100|,|PAC  |
|2000|,|1914285|,|C00000885|,|Painters & Allied Trades Union|,||,||,|  |,|     |,||,|LB100|,09/11/2000,5000.0,|C00161810|,|D|,|C00161810|,|DP|,|Z5200|,|N|,|Q3 |,|P|,|20036123144|,|24K|,|LB100|,|PAC  |
|2000|,|1918368|,|C00000885|,|Painters & Allied Trades Union/Raffle|,||,||,|  |,|     |,||,|LB100|,06/30/2000,39000.0,|C00000885|,,|C00349035|,|PL|,|LB100|,|N|,|Q2 |,|P|,|20035742580|,|18G|,|LB100|,|PAC  |
|2000|,|0056445|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/24/1999,15000.0,|C00003418|,|R|,|C00003418|,|RP|,|Z5100|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0056446|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/01/1999,15000.0,|C00000935|,|D|,|C00000935|,|DP|,|Z5200|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0056447|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/23/1999,15000.0,|C00042366|,|D|,|C00042366|,|DP|,|Z5200|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0056448|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/23/1999,15000.0,|C00010603|,|D|,|C00010603|,|DP|,|Z5200|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0056443|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/23/1999,15000.0,|C00002931|,|R|,|C00002931|,|RP|,|Z5100|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0056444|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,03/24/1999,15000.0,|C00027466|,|R|,|C00027466|,|RP|,|Z5100|,|N|,|M4 |,|P|,|99034434545|,|24K|,|B2000|,|PAC  |
|2000|,|0088651|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,05/06/1999,5000.0,|N00009791|,|R|,|C00343202|,|RL|,|Z1100|,|N|,|M6 |,|G|,|99034522532|,|24G|,|B2000|,|PAC  |
|2000|,|0088652|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,05/21/1999,5000.0,|N00009668|,|R|,|C00343863|,|RW|,|Z1100|,|N|,|M6 |,|P|,|99034522532|,|24G|,|B2000|,|PAC  |
|2000|,|0088653|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,05/21/1999,5000.0,|N00006619|,|R|,|C00286476|,|RW|,|Z1100|,|N|,|M6 |,|P|,|99034522532|,|24G|,|B2000|,|PAC  |
|2000|,|0410310|,|C00000901|,|Oregon Building Industry Assn|,||,||,|  |,|     |,||,|B2000|,04/14/1999,1200.0,|C00000901|,,|C00082909|,|PB|,|B2000|,|N|,|M5 |,|P|,|99034494927|,|18K|,|B2000|,|PAC  |
|2000|,|1766587|,|C00000901|,|National Assn of Home Builders|,||,||,|  |,|     |,||,|B2000|,09/15/2000,-2500.0,|C00053751|,|R|,|C00053751|,|PI|,|J2400|,|N|,|M10|,|8|,|20036300158|,|24K|,|B2000|,|PAC  |
|2000|,|0005063|,|C00000935|,|Federal Express Corp|,||,||,|  |,|     |,||,|T7100|,01/19/1999,5000.0,|C00000935|,|D|,|C00068692|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|T7100|,|PAC  |
|2000|,|0005064|,|C00000935|,|Friends of Patrick J Kennedy '98|,||,||,|  |,|     |,||,|Z1200|,01/22/1999,20000.0,|C00000935|,|D|,|C00326140|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|Z1200|,|PAC  |
|2000|,|0005065|,|C00000935|,|Intl Brotherhood of Electrical Workers|,||,||,|  |,|     |,||,|LC150|,01/19/1999,14250.0,|C00000935|,|D|,|C00027342|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|LC150|,|PAC  |
|2000|,|0005066|,|C00000935|,|Ike Skelton for Congress Cmte|,||,||,|  |,|     |,||,|Z1200|,01/28/1999,7000.0,|C00000935|,|D|,|C00025973|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|Z1200|,|PAC  |
|2000|,|0005073|,|C00000935|,|Woolsey for Congress|,||,||,|  |,|     |,||,|Z1200|,01/19/1999,5000.0,|C00000935|,|D|,|C00260265|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340611|,|18K|,|Z1200|,|PAC  |
|2000|,|0005056|,|C00000935|,|American Optometric Assn|,||,||,|  |,|     |,||,|H1120|,01/28/1999,15000.0,|C00000935|,|D|,|C00024968|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|H1120|,|PAC  |
|2000|,|0005057|,|C00000935|,|American Osteopathic Healthcare Assn|,||,||,|  |,|     |,||,|H1130|,01/19/1999,5000.0,|C00000935|,|D|,|C00101493|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|H1130|,|PAC  |
|2000|,|0005058|,|C00000935|,|Bob Etheridge for Congress Cmte|,||,||,|  |,|     |,||,|Z1200|,01/19/1999,5000.0,|C00000935|,|D|,|C00311555|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|Z1200|,|PAC  |
|2000|,|0005059|,|C00000935|,|Communications Workers of America|,||,||,|  |,|     |,||,|LC100|,01/22/1999,15000.0,|C00000935|,|D|,|C00002089|,|DP|,|Z5200|,|N|,|M2 |,|P|,|99034340610|,|18K|,|LC100|,|PAC  |
