bioguide_id,recipient_ext_id,chamber,state_name,first_name,last_name,party,in_office,website,contact_form,
J000288,N00027848,house,Georgia,Henry,Johnson,D,True,RepHankJohnson,http://hankjohnson.house.gov,http://hankjohnson.house.gov/contact_hank_write.shtml,
R000587,N00030968,house,Wisconsin,Reid,Ribble,R,True,RepRibble,http://ribble.house.gov,None,
P000099,N00006397,house,Arizona,Ed,Pastor,D,True,,http://www.house.gov/pastor,http://www.house.gov/writerep,
F000455,N00030490,house,Ohio,Marcia,Fudge,D,True,RepMarciaFudge,http://fudge.house.gov,https://forms.house.gov/fudge/contact-form.shtml,
S001156,N00024870,house,California,Linda,Snchez,D,True,replindasanchez,http://lindasanchez.house.gov,http://www.house.gov/writerep,
R000583,N00029018,house,Florida,Thomas,Rooney,R,True,TomRooney,http://rooney.house.gov,https://forms.house.gov/rooney/contact-form.shtml,
V000127,N00009659,senate,Louisiana,David,Vitter,R,True,None,http://www.vitter.senate.gov,http://www.vitter.senate.gov/contact,
B000575,N00005195,senate,Missouri,Roy,Blunt,R,True,RoyBlunt,http://www.blunt.senate.gov,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,
R000487,N00008264,house,California,Edward,Royce,R,True,RepEdRoyce,http://royce.house.gov/,http://www.house.gov/writerep,
W000413,N00003467,house,Kentucky,Ed,Whitfield,R,True,repedwhitfield,http://www.house.gov/whitfield,http://whitfield.house.gov/contact/index.shtml,
U000038,N00008051,senate,Colorado,Mark,Udall,D,True,MarkUdall,http://www.markudall.senate.gov,http://www.markudall.senate.gov/?p=contact,
T000472,N00006701,house,California,Mark,Takano,D,True,RepMarkTakano,http://takano.house.gov,None,
H001069,N00033782,senate,North Dakota,Heidi,Heitkamp,D,True,SenatorHeitkamp,http://www.heitkamp.senate.gov,http://www.heitkamp.senate.gov/contact.cfm,
H001064,N00031557,house,Washington,Denny,Heck,D,True,RepDennyHeck,http://dennyheck.house.gov,None,
M001165,N00028152,house,California,Kevin,McCarthy,R,True,GOPWhip,http://kevinmccarthy.house.gov,http://kevinmccarthy.house.gov/showpage.asp?ID=69,
R000122,N00000362,senate,Rhode Island,John,Reed,D,True,SenJackReed,http://www.reed.senate.gov,http://www.reed.senate.gov/contact/,
C001064,N00027565,house,California,John,Campbell,R,True,RepJohnCampbell,http://www.campbell.house.gov,http://campbell.house.gov/Contact/ContactForm.htm,
R000361,N00001685,senate,West Virginia,John,Rockefeller,D,True,senrockefeller,http://www.rockefeller.senate.gov,http://www.rockefeller.senate.gov/public/index.cfm/email-jay,
T000469,N00030196,house,New York,Paul,Tonko,D,True,PaulTonko,http://tonko.house.gov,https://forms.house.gov/tonko/contact-form.shtml,
G000410,N00005870,house,Texas,Gene,Green,D,True,RepGeneGreen,http://green.house.gov,http://www.house.gov/green/contact,
N000186,N00031006,house,Mississippi,Alan,Nunnelee,R,True,repalannunnelee,http://nunnelee.house.gov,None,
O000170,N00033540,house,Texas,Beto,O'Rourke,D,True,betoorourketx16,http://orourke.house.gov,None,
C001095,N00033363,house,Arkansas,Tom,Cotton,R,True,RepTomCotton,http://cotton.house.gov,None,
M001137,N00001171,house,New York,Gregory,Meeks,D,True,GregoryMeeks,http://www.house.gov/meeks,http://www.house.gov/meeks/contactform_zipcheck.shtml,
H001046,N00029835,senate,New Mexico,Martin,Heinrich,D,True,martinheinrich,http://www.heinrich.senate.gov,http://www.heinrich.senate.gov/contact.cfm,
G000568,N00032029,house,Virginia,H.,Griffith,R,True,RepMGriffith,http://morgangriffith.house.gov,None,
M001182,N00031412,house,South Carolina,Mick,Mulvaney,R,True,repmickmulvaney,http://mulvaney.house.gov,None,
C001093,N00033518,house,Georgia,Doug,Collins,R,True,RepDougCollins,http://dougcollins.house.gov,None,
M001144,N00013846,house,Florida,Jeff,Miller,R,True,None,http://jeffmiller.house.gov/,http://jeffmiller.house.gov/index.cfm?FuseAction=Contact.Home,
B000911,N00002713,house,Florida,Corrine,Brown,D,True,RepCorrineBrown,http://corrinebrown.house.gov,http://www.house.gov/corrinebrown/IMA/issue.shtml,
R000307,N00005285,senate,Kansas,Pat,Roberts,R,True,senpatroberts,http://www.roberts.senate.gov,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,
F000454,N00029139,house,Illinois,Bill,Foster,D,True,RepBillFoster,http://foster.house.gov,None,
D000617,N00030693,house,Washington,Suzan,DelBene,D,True,RepDelBene,http://delbene.house.gov,None,
C001090,N00034128,house,Pennsylvania,Matthew,Cartwright,D,True,RepCartwright,http://cartwright.house.gov,None,
H001049,N00029617,senate,North Carolina,Kay,Hagan,D,True,SenatorHagan,http://www.hagan.senate.gov,http://www.hagan.senate.gov/?p=contact,
M000485,N00002356,house,North Carolina,Mike,McIntyre,D,True,repmikemcintyre,http://www.house.gov/mcintyre,http://www.house.gov/mcintyre/IMA/issue.htm,
B000287,N00009774,house,California,Xavier,Becerra,D,True,repbecerra,http://becerra.house.gov,http://becerra.house.gov/HoR/CA31/Hidden+Content/Email+Signup+Form.htm,
S000583,N00001811,house,Texas,Lamar,Smith,R,True,LamarSmithTX21,http://lamarsmith.house.gov,http://lamarsmith.house.gov/contact.aspx?section=Mail,
S001168,N00027751,house,Maryland,John,Sarbanes,D,True,RepJohnSarbanes,http://sarbanes.house.gov,http://sarbanes.house.gov/federal.asp,
B001248,N00025219,house,Texas,Michael,Burgess,R,True,michaelcburgess,http://burgess.house.gov,https://forms.house.gov/wyr/welcome.shtml,
K000378,N00030667,house,Illinois,Adam,Kinzinger,R,True,RepKinzinger,http://kinzinger.house.gov,None,
C001056,N00024852,senate,Texas,John,Cornyn,R,True,JohnCornyn,http://www.cornyn.senate.gov,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,
H001047,N00029070,house,Connecticut,James,Himes,D,True,jahimes,http://himes.house.gov,https://forms.house.gov/himes/contact-form.shtml,
W000809,N00031857,house,Arkansas,Steve,Womack,R,True,Rep_SteveWomack,http://womack.house.gov,None,
C001084,N00032019,house,Rhode Island,David,Cicilline,D,True,repcicilline,http://cicilline.house.gov,None,
K000380,N00033395,house,Michigan,Daniel,Kildee,D,True,RepDanKildee,http://danielkildee.house.gov,None,
F000457,N00029016,senate,Minnesota,Alan,Franken,D,True,None,http://www.franken.senate.gov,http://www.franken.senate.gov/?p=contact,
R000586,N00031127,house,Ohio,James,Renacci,R,True,repjimrenacci,http://renacci.house.gov,None,
L000569,N00030026,house,Missouri,Blaine,Luetkemeyer,R,True,None,http://luetkemeyer.house.gov,https://forms.house.gov/luetkemeyer/contact-form.shtml,
D000355,N00001783,house,Michigan,John,Dingell,D,True,john_dingell,http://www.house.gov/dingell,https://forms.house.gov/wyr/welcome.shtml,
